FID	IID	phe_gcf
LBC360663	LBC360663	-3.432099816
LBC360588	LBC360588	-2.970857879
LBC361228	LBC361228	-2.59790779
LBC360149	LBC360149	-2.541369654
LBC360405	LBC360405	-2.393046182
LBC360156	LBC360156	-2.345962089
LBC360708	LBC360708	-2.316607315
LBC361266	LBC361266	-2.29777284
LBC360367	LBC360367	-2.25856699
LBC360753	LBC360753	-2.253761337
LBC360643	LBC360643	-2.18381661
LBC360434	LBC360434	-2.1691061
LBC360285	LBC360285	-2.166390042
LBC361040	LBC361040	-2.150245274
LBC361263	LBC361263	-2.124777769
LBC361223	LBC361223	-2.097566158
LBC360811	LBC360811	-2.095854136
LBC360567	LBC360567	-2.093988061
LBC360275	LBC360275	-2.05602278
LBC360955	LBC360955	-2.036041829
LBC360694	LBC360694	-1.990484343
LBC360815	LBC360815	-1.973277427
LBC360110	LBC360110	-1.951410589
LBC360548	LBC360548	-1.949594788
LBC360661	LBC360661	-1.907240093
LBC360937	LBC360937	-1.905424478
LBC360756	LBC360756	-1.871471098
LBC360748	LBC360748	-1.869354702
LBC360818	LBC360818	-1.86209599
LBC360203	LBC360203	-1.856532378
LBC360973	LBC360973	-1.846811896
LBC360936	LBC360936	-1.831204013
LBC360772	LBC360772	-1.822720717
LBC361092	LBC361092	-1.81164011
LBC360675	LBC360675	-1.803768296
LBC360880	LBC360880	-1.798456794
LBC360559	LBC360559	-1.78737849
LBC361205	LBC361205	-1.735852144
LBC361103	LBC361103	-1.729219573
LBC361044	LBC361044	-1.721461466
LBC360581	LBC360581	-1.707666258
LBC360101	LBC360101	-1.702627166
LBC360455	LBC360455	-1.700909732
LBC360487	LBC360487	-1.69342574
LBC360306	LBC360306	-1.692836956
LBC360426	LBC360426	-1.692422381
LBC360212	LBC360212	-1.689976891
LBC360692	LBC360692	-1.688309318
LBC361073	LBC361073	-1.682033285
LBC360901	LBC360901	-1.675818534
LBC360857	LBC360857	-1.67197665
LBC360423	LBC360423	-1.670379535
LBC360984	LBC360984	-1.656309476
LBC361089	LBC361089	-1.653729159
LBC360252	LBC360252	-1.653613015
LBC361108	LBC361108	-1.652109796
LBC361234	LBC361234	-1.651226435
LBC360623	LBC360623	-1.636004125
LBC361166	LBC361166	-1.634691502
LBC360268	LBC360268	-1.621682089
LBC360365	LBC360365	-1.619398456
LBC360747	LBC360747	-1.616383742
LBC360467	LBC360467	-1.605191812
LBC360741	LBC360741	-1.580365971
LBC360329	LBC360329	-1.560679062
LBC360515	LBC360515	-1.559066235
LBC360972	LBC360972	-1.545563982
LBC361084	LBC361084	-1.54312214
LBC360007	LBC360007	-1.538829859
LBC361099	LBC361099	-1.537537287
LBC360337	LBC360337	-1.533363327
LBC360988	LBC360988	-1.514707796
