FID	IID	phe_gcf
MCTFRGEDI0003	MCTFRGEDI000305	-.631660634368003
MCTFRGEDI0005	MCTFRGEDI000500	-1.14079891237839
MCTFRGEDI0005	MCTFRGEDI000511	-.367340629955523
MCTFRGEDI0007	MCTFRGEDI000701	1.10546391156719
MCTFRGEDI0007	MCTFRGEDI000711	.389169872430409
MCTFRGEDI0007	MCTFRGEDI000715	.0710701765617829
MCTFRGEDI0008	MCTFRGEDI000810	-.579542967900745
MCTFRGEDI0008	MCTFRGEDI000811	.530881979802447
MCTFRGEDI0008	MCTFRGEDI000815	.431869306251806
MCTFRGEDI0009	MCTFRGEDI000900	-1.38305799438862
MCTFRGEDI0009	MCTFRGEDI000911	-.777774722528302
MCTFRGEDI0010	MCTFRGEDI001001	-.999268476491976
MCTFRGEDI0011	MCTFRGEDI001110	.216772433785735
MCTFRGEDI0012	MCTFRGEDI001210	-.145844798896726
MCTFRGEDI0012	MCTFRGEDI001211	1.98188601005478
MCTFRGEDI0014	MCTFRGEDI001401	-1.21182343858378
MCTFRGEDI0014	MCTFRGEDI001411	-.447960483114578
MCTFRGEDI0014	MCTFRGEDI001415	.287607004212726
MCTFRGEDI0015	MCTFRGEDI001501	-.99916723988523
MCTFRGEDI0015	MCTFRGEDI001510	-1.08914861614246
MCTFRGEDI0015	MCTFRGEDI001511	1.19734282822091
MCTFRGEDI0016	MCTFRGEDI001600	-1.04463736388843
MCTFRGEDI0016	MCTFRGEDI001610	.0700688964685454
MCTFRGEDI0017	MCTFRGEDI001701	-1.90966263330952
MCTFRGEDI0017	MCTFRGEDI001710	-.0759234274994289
MCTFRGEDI0017	MCTFRGEDI001716	.578557405764314
MCTFRGEDI0018	MCTFRGEDI001801	-.896559874856243
MCTFRGEDI0018	MCTFRGEDI001810	-1.52521914355187
MCTFRGEDI0018	MCTFRGEDI001811	.227310801483548
MCTFRGEDI0019	MCTFRGEDI001911	-.621549514381057
MCTFRGEDI0020	MCTFRGEDI002001	1.10336553992455
MCTFRGEDI0020	MCTFRGEDI002010	-.0763656903005345
MCTFRGEDI0020	MCTFRGEDI002011	-.472908127742509
MCTFRGEDI0021	MCTFRGEDI002110	-.583657468077827
MCTFRGEDI0021	MCTFRGEDI002111	-1.299602609594
MCTFRGEDI0023	MCTFRGEDI002301	-.379082179271872
MCTFRGEDI0025	MCTFRGEDI002501	-.226562994076954
MCTFRGEDI0025	MCTFRGEDI002510	-.946647765280967
MCTFRGEDI0025	MCTFRGEDI002511	-.628811904033344
MCTFRGEDI0026	MCTFRGEDI002601	-1.02229368412764
MCTFRGEDI0028	MCTFRGEDI002810	.646148774455976
MCTFRGEDI0030	MCTFRGEDI003000	.307537916610958
MCTFRGEDI0030	MCTFRGEDI003010	-.0788151815979539
MCTFRGEDI0032	MCTFRGEDI003200	-.803719234270862
MCTFRGEDI0032	MCTFRGEDI003210	-1.45633229896517
MCTFRGEDI0033	MCTFRGEDI003300	-1.15648292870209
MCTFRGEDI0033	MCTFRGEDI003301	-.649305706819496
MCTFRGEDI0033	MCTFRGEDI003310	-.876855646081075
MCTFRGEDI0034	MCTFRGEDI003401	-.526055946699862
MCTFRGEDI0034	MCTFRGEDI003410	-1.02215655119925
MCTFRGEDI0034	MCTFRGEDI003411	-1.6279722546355
MCTFRGEDI0034	MCTFRGEDI003416	-1.25293772538261
MCTFRGEDI0036	MCTFRGEDI003601	-1.33401396771858
MCTFRGEDI0036	MCTFRGEDI003610	-1.31229379086063
MCTFRGEDI0038	MCTFRGEDI003800	1.15028447802729
MCTFRGEDI0038	MCTFRGEDI003801	.353291700783212
MCTFRGEDI0038	MCTFRGEDI003811	-.930661124672003
MCTFRGEDI0039	MCTFRGEDI003900	-.588021561951535
MCTFRGEDI0039	MCTFRGEDI003910	.0623565168453261
MCTFRGEDI0039	MCTFRGEDI003911	-.465870871951584
MCTFRGEDI0040	MCTFRGEDI004010	-.227640629677083
MCTFRGEDI0040	MCTFRGEDI004011	-1.817340005329
MCTFRGEDI0041	MCTFRGEDI004101	-.528386099881271
MCTFRGEDI0041	MCTFRGEDI004110	.93153019765923
MCTFRGEDI0042	MCTFRGEDI004201	.744343106401263
MCTFRGEDI0042	MCTFRGEDI004210	-1.02509436766371
MCTFRGEDI0042	MCTFRGEDI004211	-.231312581955707
MCTFRGEDI0043	MCTFRGEDI004301	-.57727560966652
MCTFRGEDI0043	MCTFRGEDI004310	-1.17000214534445
MCTFRGEDI0043	MCTFRGEDI004311	-.953285797086647
MCTFRGEDI0044	MCTFRGEDI004400	1.03054456837919
MCTFRGEDI0044	MCTFRGEDI004401	-.63589487494935
MCTFRGEDI0044	MCTFRGEDI004410	.641157898231718
MCTFRGEDI0046	MCTFRGEDI004600	-1.25669703515292
MCTFRGEDI0046	MCTFRGEDI004610	.495775194127968
MCTFRGEDI0047	MCTFRGEDI004700	-.817408481434853
MCTFRGEDI0047	MCTFRGEDI004701	-.201550426291698
MCTFRGEDI0047	MCTFRGEDI004710	.785203626001095
MCTFRGEDI0047	MCTFRGEDI004716	1.03309751804209
MCTFRGEDI0048	MCTFRGEDI004811	-.616138081323334
MCTFRGEDI0049	MCTFRGEDI004900	-.487361015661131
MCTFRGEDI0049	MCTFRGEDI004910	-1.38870757153045
MCTFRGEDI0049	MCTFRGEDI004911	-1.25722978812446
MCTFRGEDI0051	MCTFRGEDI005100	.308106325576035
MCTFRGEDI0051	MCTFRGEDI005101	-.126617007466191
MCTFRGEDI0051	MCTFRGEDI005111	.469982250998996
MCTFRGEDI0053	MCTFRGEDI005300	-.0223487055534466
MCTFRGEDI0053	MCTFRGEDI005301	-.167256483234189
MCTFRGEDI0053	MCTFRGEDI005310	-1.53411421680071
MCTFRGEDI0053	MCTFRGEDI005311	-.478602596003891
MCTFRGEDI0054	MCTFRGEDI005411	-2.44189888757935
MCTFRGEDI0054	MCTFRGEDI005416	-1.49675348868089
MCTFRGEDI0056	MCTFRGEDI005601	-.779324056483484
MCTFRGEDI0056	MCTFRGEDI005610	.491616665246256
MCTFRGEDI0057	MCTFRGEDI005700	.524600503615895
MCTFRGEDI0057	MCTFRGEDI005701	.524600503615895
MCTFRGEDI0057	MCTFRGEDI005710	.78132007748714
MCTFRGEDI0057	MCTFRGEDI005711	.248510223722727
MCTFRGEDI0058	MCTFRGEDI005810	-.957798737981294
MCTFRGEDI0059	MCTFRGEDI005901	-.344957377339507
MCTFRGEDI0059	MCTFRGEDI005911	-.332921565789442
MCTFRGEDI0060	MCTFRGEDI006001	-.561020303903636
MCTFRGEDI0060	MCTFRGEDI006010	-.958369429070343
MCTFRGEDI0060	MCTFRGEDI006011	-.640612035596219
MCTFRGEDI0061	MCTFRGEDI006101	.592664225721953
MCTFRGEDI0061	MCTFRGEDI006110	-1.68290831747405
MCTFRGEDI0062	MCTFRGEDI006201	1.46607724139574
MCTFRGEDI0062	MCTFRGEDI006210	-1.17596216516317
MCTFRGEDI0062	MCTFRGEDI006211	-.195828333527841
MCTFRGEDI0063	MCTFRGEDI006301	.523943110698301
MCTFRGEDI0063	MCTFRGEDI006310	-1.10362440963782
MCTFRGEDI0063	MCTFRGEDI006311	-.163863151656469
MCTFRGEDI0065	MCTFRGEDI006500	1.38336541077177
MCTFRGEDI0065	MCTFRGEDI006501	1.818088743814
MCTFRGEDI0065	MCTFRGEDI006510	1.21454923919235
MCTFRGEDI0066	MCTFRGEDI006610	1.43191090571347
MCTFRGEDI0066	MCTFRGEDI006616	-.36297496199252
MCTFRGEDI0067	MCTFRGEDI006701	-.392879904764252
MCTFRGEDI0067	MCTFRGEDI006710	-.162547960462496
MCTFRGEDI0067	MCTFRGEDI006711	-1.92778439549364
MCTFRGEDI0068	MCTFRGEDI006810	-1.39522984705761
MCTFRGEDI0068	MCTFRGEDI006811	-.21947144018139
MCTFRGEDI0069	MCTFRGEDI006901	-1.12246178172391
MCTFRGEDI0069	MCTFRGEDI006910	-1.54125464807305
MCTFRGEDI0070	MCTFRGEDI007001	-1.12111514708003
MCTFRGEDI0070	MCTFRGEDI007010	-1.10665742383189
MCTFRGEDI0070	MCTFRGEDI007011	-.801508759699963
MCTFRGEDI0072	MCTFRGEDI007210	.0513217635340975
MCTFRGEDI0073	MCTFRGEDI007301	.302809626702224
MCTFRGEDI0074	MCTFRGEDI007401	-.924757769052144
MCTFRGEDI0074	MCTFRGEDI007410	-1.25324092669568
MCTFRGEDI0074	MCTFRGEDI007411	1.40415459899766
MCTFRGEDI0076	MCTFRGEDI007601	.367103941105804
MCTFRGEDI0076	MCTFRGEDI007610	-.384590416342363
MCTFRGEDI0076	MCTFRGEDI007611	1.90696608489191
MCTFRGEDI0077	MCTFRGEDI007701	.227111061020346
MCTFRGEDI0077	MCTFRGEDI007710	-1.0366754159057
MCTFRGEDI0078	MCTFRGEDI007801	.902185654824965
MCTFRGEDI0078	MCTFRGEDI007810	.194501943504347
MCTFRGEDI0078	MCTFRGEDI007811	-.421916541946463
MCTFRGEDI0079	MCTFRGEDI007900	-1.07016119862277
MCTFRGEDI0079	MCTFRGEDI007901	.0166471339827978
MCTFRGEDI0079	MCTFRGEDI007910	-.459097540072655
MCTFRGEDI0079	MCTFRGEDI007916	1.13246513662896
MCTFRGEDI0080	MCTFRGEDI008001	-1.09029301791514
MCTFRGEDI0080	MCTFRGEDI008010	-.170413753107777
MCTFRGEDI0080	MCTFRGEDI008016	1.26479350114743
MCTFRGEDI0081	MCTFRGEDI008100	1.10462153687555
MCTFRGEDI0081	MCTFRGEDI008110	-.170557019744842
MCTFRGEDI0081	MCTFRGEDI008116	-.405075208643428
MCTFRGEDI0082	MCTFRGEDI008201	-.199533007767183
MCTFRGEDI0082	MCTFRGEDI008210	-1.18491146351004
MCTFRGEDI0082	MCTFRGEDI008211	-.700511244230609
MCTFRGEDI0083	MCTFRGEDI008301	-.279252597535226
MCTFRGEDI0083	MCTFRGEDI008310	-1.04072600430624
MCTFRGEDI0083	MCTFRGEDI008311	-.475926772857475
MCTFRGEDI0085	MCTFRGEDI008500	-1.1039356936324
MCTFRGEDI0085	MCTFRGEDI008510	-.823802517104601
MCTFRGEDI0085	MCTFRGEDI008511	-1.57847881710086
MCTFRGEDI0086	MCTFRGEDI008601	-.746887593957158
MCTFRGEDI0086	MCTFRGEDI008610	.117210905656352
MCTFRGEDI0086	MCTFRGEDI008611	-1.90557437107823
MCTFRGEDI0087	MCTFRGEDI008701	-.997827375913034
MCTFRGEDI0087	MCTFRGEDI008710	-.0278461239530835
MCTFRGEDI0089	MCTFRGEDI008910	-.897442440985669
MCTFRGEDI0090	MCTFRGEDI009010	-1.04250026863399
MCTFRGEDI0092	MCTFRGEDI009210	.623182939565043
MCTFRGEDI0092	MCTFRGEDI009211	-.857042845504461
MCTFRGEDI0093	MCTFRGEDI009300	-1.22894644570667
MCTFRGEDI0093	MCTFRGEDI009301	-.287045890781848
MCTFRGEDI0094	MCTFRGEDI009410	1.56462496517886
MCTFRGEDI0095	MCTFRGEDI009501	-.753051784109959
MCTFRGEDI0095	MCTFRGEDI009510	-1.04417715356048
MCTFRGEDI0095	MCTFRGEDI009511	-1.64921349994656
MCTFRGEDI0096	MCTFRGEDI009600	.852751823475136
MCTFRGEDI0096	MCTFRGEDI009610	.621796578107099
MCTFRGEDI0097	MCTFRGEDI009700	-.218996483315598
MCTFRGEDI0097	MCTFRGEDI009710	-1.2623170012804
MCTFRGEDI0097	MCTFRGEDI009711	-.764727917569817
MCTFRGEDI0098	MCTFRGEDI009810	-.393500062504944
MCTFRGEDI0101	MCTFRGEDI010100	.63668531808991
MCTFRGEDI0101	MCTFRGEDI010101	-.595030792196399
MCTFRGEDI0101	MCTFRGEDI010110	-.973607658413801
MCTFRGEDI0101	MCTFRGEDI010111	-.670840434373831
MCTFRGEDI0102	MCTFRGEDI010210	.257948825438328
MCTFRGEDI0102	MCTFRGEDI010211	-1.42919452598749
MCTFRGEDI0103	MCTFRGEDI010301	-.634551814256827
MCTFRGEDI0103	MCTFRGEDI010310	-.611497840646125
MCTFRGEDI0105	MCTFRGEDI010501	-.875933167668479
MCTFRGEDI0106	MCTFRGEDI010601	-.92189564368394
MCTFRGEDI0106	MCTFRGEDI010610	-1.69959754942504
MCTFRGEDI0106	MCTFRGEDI010611	.624157085229454
MCTFRGEDI0107	MCTFRGEDI010710	-.975221878630481
MCTFRGEDI0109	MCTFRGEDI010910	.0373108361508351
MCTFRGEDI0110	MCTFRGEDI011001	-1.92852389773218
MCTFRGEDI0110	MCTFRGEDI011010	-1.62946501788206
MCTFRGEDI0110	MCTFRGEDI011016	-.269159971422963
MCTFRGEDI0112	MCTFRGEDI011201	-1.54003624881851
MCTFRGEDI0112	MCTFRGEDI011210	-.543164293978843
MCTFRGEDI0112	MCTFRGEDI011211	-2.13863639470633
MCTFRGEDI0113	MCTFRGEDI011301	1.20313983064913
MCTFRGEDI0113	MCTFRGEDI011310	-.471221605015801
MCTFRGEDI0113	MCTFRGEDI011311	-1.16292984702095
MCTFRGEDI0114	MCTFRGEDI011401	-.575621349690419
MCTFRGEDI0114	MCTFRGEDI011410	.0357844188688048
MCTFRGEDI0114	MCTFRGEDI011411	-.711094123776515
MCTFRGEDI0115	MCTFRGEDI011500	-1.28740411031098
MCTFRGEDI0115	MCTFRGEDI011501	-2.08439688755506
MCTFRGEDI0115	MCTFRGEDI011510	-.327001013443682
MCTFRGEDI0115	MCTFRGEDI011511	-1.36468484004463
MCTFRGEDI0116	MCTFRGEDI011600	.436690774799749
MCTFRGEDI0116	MCTFRGEDI011601	1.3061374408842
MCTFRGEDI0116	MCTFRGEDI011610	.252630097279287
MCTFRGEDI0116	MCTFRGEDI011611	.21936077927025
MCTFRGEDI0117	MCTFRGEDI011701	.667406038200121
MCTFRGEDI0117	MCTFRGEDI011710	-.400322862857272
MCTFRGEDI0119	MCTFRGEDI011900	.765419226184151
MCTFRGEDI0119	MCTFRGEDI011901	1.77977366994935
MCTFRGEDI0119	MCTFRGEDI011910	-.0387549694639477
MCTFRGEDI0119	MCTFRGEDI011911	1.02871891897455
MCTFRGEDI0120	MCTFRGEDI012001	.649721652216107
MCTFRGEDI0120	MCTFRGEDI012011	-.324958572943284
MCTFRGEDI0121	MCTFRGEDI012100	-1.4345794161775
MCTFRGEDI0121	MCTFRGEDI012101	-.637586638933417
MCTFRGEDI0121	MCTFRGEDI012110	-1.77925013358939
MCTFRGEDI0121	MCTFRGEDI012111	-1.06064696331567
MCTFRGEDI0122	MCTFRGEDI012200	.307457332943483
MCTFRGEDI0122	MCTFRGEDI012210	-.403167371957809
MCTFRGEDI0122	MCTFRGEDI012211	.890432020589317
MCTFRGEDI0123	MCTFRGEDI012300	1.53441984040732
MCTFRGEDI0123	MCTFRGEDI012310	.610824325819866
MCTFRGEDI0123	MCTFRGEDI012311	-.350737069724592
MCTFRGEDI0125	MCTFRGEDI012500	-.298639371405587
MCTFRGEDI0126	MCTFRGEDI012600	.12317919389048
MCTFRGEDI0126	MCTFRGEDI012610	1.04408071413434
MCTFRGEDI0126	MCTFRGEDI012611	1.92640715921039
MCTFRGEDI0127	MCTFRGEDI012700	-.34373341925322
MCTFRGEDI0127	MCTFRGEDI012701	.139534019312056
MCTFRGEDI0127	MCTFRGEDI012710	-.115366670990055
MCTFRGEDI0127	MCTFRGEDI012711	-1.09030756844717
MCTFRGEDI0128	MCTFRGEDI012801	-.915401506889153
MCTFRGEDI0128	MCTFRGEDI012810	1.33352554311947
MCTFRGEDI0128	MCTFRGEDI012811	-1.88793519765437
MCTFRGEDI0129	MCTFRGEDI012901	-.636999032290121
MCTFRGEDI0129	MCTFRGEDI012910	-1.78255075922684
MCTFRGEDI0129	MCTFRGEDI012911	-1.76484967489642
MCTFRGEDI0131	MCTFRGEDI013101	-1.88713124398958
MCTFRGEDI0131	MCTFRGEDI013110	-1.42065603159576
MCTFRGEDI0131	MCTFRGEDI013116	-1.3935544365449
MCTFRGEDI0132	MCTFRGEDI013201	-.0302884575926674
MCTFRGEDI0132	MCTFRGEDI013210	-.116862345117621
MCTFRGEDI0132	MCTFRGEDI013211	-.335183860091127
MCTFRGEDI0132	MCTFRGEDI013216	.310910669476247
MCTFRGEDI0133	MCTFRGEDI013310	-.769325253407272
MCTFRGEDI0134	MCTFRGEDI013400	.503692536573021
MCTFRGEDI0134	MCTFRGEDI013401	-.800477462553659
MCTFRGEDI0134	MCTFRGEDI013410	-.262527536328752
MCTFRGEDI0134	MCTFRGEDI013411	-.266003086734444
MCTFRGEDI0136	MCTFRGEDI013610	.171814695831631
MCTFRGEDI0136	MCTFRGEDI013616	-1.7210413265084
MCTFRGEDI0137	MCTFRGEDI013701	-.132960852469635
MCTFRGEDI0137	MCTFRGEDI013710	-1.56726978530736
MCTFRGEDI0137	MCTFRGEDI013711	-1.06825549883683
MCTFRGEDI0138	MCTFRGEDI013800	-1.25014084739452
MCTFRGEDI0138	MCTFRGEDI013810	-1.06047605842326
MCTFRGEDI0138	MCTFRGEDI013811	-1.15336396834931
MCTFRGEDI0139	MCTFRGEDI013910	-.553683927616925
MCTFRGEDI0140	MCTFRGEDI014011	1.20702519338488
MCTFRGEDI0141	MCTFRGEDI014101	-.00816283787085207
MCTFRGEDI0141	MCTFRGEDI014110	-1.78695636298596
MCTFRGEDI0141	MCTFRGEDI014111	-.456082736737438
MCTFRGEDI0143	MCTFRGEDI014301	-.442427462374842
MCTFRGEDI0146	MCTFRGEDI014601	-.584652353760818
MCTFRGEDI0146	MCTFRGEDI014610	.820990563802302
MCTFRGEDI0146	MCTFRGEDI014611	.0765348693029122
MCTFRGEDI0147	MCTFRGEDI014700	.365452873285239
MCTFRGEDI0147	MCTFRGEDI014701	.332360386638186
MCTFRGEDI0147	MCTFRGEDI014710	-1.20771832372809
MCTFRGEDI0147	MCTFRGEDI014711	-1.59434126405478
MCTFRGEDI0148	MCTFRGEDI014800	.353105071672644
MCTFRGEDI0148	MCTFRGEDI014801	-.19029909463014
MCTFRGEDI0148	MCTFRGEDI014810	.820793429540589
MCTFRGEDI0148	MCTFRGEDI014811	-.2256465134616
MCTFRGEDI0149	MCTFRGEDI014901	.742072073710225
MCTFRGEDI0149	MCTFRGEDI014910	-.919291087606873
MCTFRGEDI0149	MCTFRGEDI014911	-1.80897899876186
MCTFRGEDI0151	MCTFRGEDI015100	-1.35581278968544
MCTFRGEDI0151	MCTFRGEDI015110	-1.42686856330453
MCTFRGEDI0151	MCTFRGEDI015111	-2.30740190243037
MCTFRGEDI0152	MCTFRGEDI015200	.464736731920179
MCTFRGEDI0152	MCTFRGEDI015201	-.187348267643161
MCTFRGEDI0152	MCTFRGEDI015210	.384076807811933
MCTFRGEDI0152	MCTFRGEDI015211	.516890397722871
MCTFRGEDI0153	MCTFRGEDI015316	-.614774128304769
MCTFRGEDI0155	MCTFRGEDI015500	.69735347440814
MCTFRGEDI0155	MCTFRGEDI015501	1.05962291861
MCTFRGEDI0155	MCTFRGEDI015510	.817991652835218
MCTFRGEDI0155	MCTFRGEDI015511	.390114190226028
MCTFRGEDI0156	MCTFRGEDI015610	-.12411202164295
MCTFRGEDI0157	MCTFRGEDI015701	.259082209748607
MCTFRGEDI0157	MCTFRGEDI015710	-1.13928293381592
MCTFRGEDI0157	MCTFRGEDI015711	-1.49326935368438
MCTFRGEDI0157	MCTFRGEDI015716	-1.35964446218658
MCTFRGEDI0158	MCTFRGEDI015810	-.994580270785732
MCTFRGEDI0158	MCTFRGEDI015811	-.179876474510826
MCTFRGEDI0159	MCTFRGEDI015901	-.271855868739421
MCTFRGEDI0159	MCTFRGEDI015910	-.415360586422188
MCTFRGEDI0159	MCTFRGEDI015911	-.18119107000335
MCTFRGEDI0160	MCTFRGEDI016010	-.995198008854031
MCTFRGEDI0160	MCTFRGEDI016011	-.47552002512452
MCTFRGEDI0162	MCTFRGEDI016201	1.37690258611593
MCTFRGEDI0163	MCTFRGEDI016300	-.297095944704309
MCTFRGEDI0163	MCTFRGEDI016301	-.871423822902595
MCTFRGEDI0163	MCTFRGEDI016310	1.1047185178552
MCTFRGEDI0163	MCTFRGEDI016311	-1.06677543543983
MCTFRGEDI0164	MCTFRGEDI016401	.162996443268235
MCTFRGEDI0164	MCTFRGEDI016410	-.923990369675191
MCTFRGEDI0164	MCTFRGEDI016411	1.38704336860241
MCTFRGEDI0165	MCTFRGEDI016510	.234433038274226
MCTFRGEDI0166	MCTFRGEDI016601	-.248537933834124
MCTFRGEDI0166	MCTFRGEDI016610	-.780554705317502
MCTFRGEDI0166	MCTFRGEDI016611	-1.58557409911271
MCTFRGEDI0167	MCTFRGEDI016700	-.586893760057494
MCTFRGEDI0167	MCTFRGEDI016701	-.200714532538316
