FID	IID	phe_gcf
94657_A01_HBCS514800	94657_A01_HBCS514800	1.21311450272835
94657_A03_HBCS514782	94657_A03_HBCS514782	.54008521090384
94657_A04_HBCS514774	94657_A04_HBCS514774	1.0742842876185
94657_B04_HBCS514798	94657_B04_HBCS514798	-1.82474070318349
94657_B12_HBCS514167	94657_B12_HBCS514167	-.672349871127879
94657_C04_HBCS514810	94657_C04_HBCS514810	-.508490758801542
94657_C12_HBCS514179	94657_C12_HBCS514179	.466640723824965
94657_D12_HBCS514096	94657_D12_HBCS514096	.570655029662752
94657_E01_HBCS514837	94657_E01_HBCS514837	-.297532003139389
94657_E03_HBCS514844	94657_E03_HBCS514844	1.13253323226942
94657_E04_HBCS514834	94657_E04_HBCS514834	-.299001251916852
94657_E11_HBCS514093	94657_E11_HBCS514093	-.931249890521327
94657_F04_HBCS514846	94657_F04_HBCS514846	.868317104989045
94657_F11_HBCS514142	94657_F11_HBCS514142	.794589910099395
94657_G03_HBCS514857	94657_G03_HBCS514857	.450451441857247
94657_G04_HBCS514858	94657_G04_HBCS514858	.894776471347986
94657_H12_HBCS514168	94657_H12_HBCS514168	.79456709391463
94658_A04_HBCS514124	94658_A04_HBCS514124	-.945807340677925
94658_A11_HBCS514946	94658_A11_HBCS514946	-.643316608095421
94658_A12_HBCS514900	94658_A12_HBCS514900	1.30141226720011
94658_B01_HBCS514097	94658_B01_HBCS514097	-.448355724266581
94658_B10_HBCS514897	94658_B10_HBCS514897	.644515614473608
94658_B11_HBCS514875	94658_B11_HBCS514875	.262168434015852
94658_C10_HBCS514933	94658_C10_HBCS514933	-.140091680577386
94658_C12_HBCS514948	94658_C12_HBCS514948	-.93808636600259
94658_D02_HBCS514170	94658_D02_HBCS514170	.593245928870521
94658_D03_HBCS514136	94658_D03_HBCS514136	-2.06153266478455
94658_D10_HBCS514945	94658_D10_HBCS514945	-1.22057139773236
94658_E01_HBCS514145	94658_E01_HBCS514145	1.20959434393647
94658_E04_HBCS514185	94658_E04_HBCS514185	-.118167427822555
